name;align;eye;hair;sex;appearances;first_appearance
Philip Watson (Earth-616);;;;Мужской персонаж;9;1984
Roger Willis (Earth-616);Добрый персонаж;;Белые волосы;Мужской персонаж;9;1984
Baba Yaga (Earth-616);Злой персонаж;Красные глаза;Зеленые волосы;Женский персонаж;9;1985
Cybele (Earth-616);Добрый персонаж;Голубые глаза;Светло-розовые волосы;Женский персонаж;9;1985
Gudrun (Asgardian) (Earth-616);Добрый персонаж;;Русые волосы;Женский персонаж;9;1985
Kariooq (Earth-616);Злой персонаж;;;;9;1985
Kura (Earth-616);Нейтральный персонаж;Темно-карие глаза;;Женский персонаж;9;1985
O.Z. Chase (Earth-616);Добрый персонаж;Черные глаза;Белые волосы;Мужской персонаж;9;1985
Piper (Morlock) (Earth-616);Нейтральный персонаж;Голубые глаза;;Мужской персонаж;9;1985
Black Raazer (Earth-616);Злой персонаж;;;Мужской персонаж;9;1986
Glynis Zarkov (Earth-616);Добрый персонаж;Зеленые глаза;Светло-розовые волосы;Женский персонаж;9;1986
Ilya Zarkov (Earth-616);Добрый персонаж;Голубые глаза;Каштановые волосы;Мужской персонаж;9;1986
Jack Brennan (Earth-616);Добрый персонаж;;Каштановые волосы;Мужской персонаж;9;1986
Lewis Haywerth (Earth-616);Нейтральный персонаж;;;Мужской персонаж;9;1986
Sharon Banks (Earth-616);Добрый персонаж;;Каштановые волосы;Женский персонаж;9;1986
Simeon (Earth-616);;;;Мужской персонаж;9;1986
Urthona (Earth-616);Злой персонаж;Оранжевые глаза;Без волос;Мужской персонаж;9;1986
Anya Eisenhardt (Earth-616);Добрый персонаж;;Каштановые волосы;Женский персонаж;9;1987
Bill (Lobster) (Earth-616);Добрый персонаж;Зеленые глаза;Без волос;Мужской персонаж;9;1987
Cort Zo Tinnus (Earth-616);Нейтральный персонаж;Черные глаза;Оранжевые волосы;Мужской персонаж;9;1987
Daniel Bannion (Earth-616);Злой персонаж;;;Мужской персонаж;9;1987
Thomas Bannion (Earth-616);Злой персонаж;;;Мужской персонаж;9;1987
Alex (Inferno Baby) (Earth-616);Злой персонаж;Фиолетовые глаза;Без волос;Мужской персонаж;9;1988
Crotus (Earth-616);Злой персонаж;Желтые глаза;;Мужской персонаж;9;1988
Dei Guan (Earth-616);Добрый персонаж;Темно-карие глаза;Черные волосы;Мужской персонаж;9;1988
Exitar (Earth-616);Нейтральный персонаж;;;;9;1988
Gerald Stone (Earth-616);Злой персонаж;Голубые глаза;Русые волосы;Мужской персонаж;9;1988
Infectia (Josephine) (Earth-616);Злой персонаж;Темно-карие глаза;Черные волосы;Женский персонаж;9;1988
James Kincaid (Earth-616);Добрый персонаж;;Русые волосы;Мужской персонаж;9;1988
Jody Choate (Earth-616);Злой персонаж;;;Мужской персонаж;9;1988
Kwaku Anansi (Earth-616);Добрый персонаж;Темно-карие глаза;Черные волосы;Мужской персонаж;9;1988
Lloyd Zahner (Earth-616);;;Русые волосы;Мужской персонаж;9;1988
Marc Riemer (Earth-616);Злой персонаж;;;;9;1988
Michael Phillips (Earth-616);Нейтральный персонаж;;Русые волосы;Мужской персонаж;9;1988
Sandy Kintzler (Earth-616);Добрый персонаж;;Черные волосы;Женский персонаж;9;1988
Shauna (Earth-616);Злой персонаж;Темно-карие глаза;Черные волосы;Женский персонаж;9;1988
Gina Dyson (Earth-616);;;Каштановые волосы;Женский персонаж;9;1989
Lian Shen (Earth-616);;Черные глаза;Черные волосы;Женский персонаж;9;1989
Ray Lippert (Earth-616);Добрый персонаж;;Каштановые волосы;Мужской персонаж;9;1989
Worm (Savage Land Mutate) (Earth-616);Злой персонаж;Желтые глаза;;Мужской персонаж;9;1989
Beatta Dubiel (Earth-616);;Красные глаза;Белые волосы;Женский персонаж;9;1990
Danielle Forte (Earth-616);Злой персонаж;Розовые глаза;Без волос;Женский персонаж;9;1990
Jorrma (Earth-616);Нейтральный персонаж;Темно-карие глаза;Русые волосы;Мужской персонаж;9;1990
Joseph Trinity (Earth-616);Добрый персонаж;;Русые волосы;Мужской персонаж;9;1990
Purple Hayes (Earth-616);Добрый персонаж;Голубые глаза;Каштановые волосы;Женский персонаж;9;1990
Allen Marc Yuric (Earth-616);Злой персонаж;Темно-карие глаза;Каштановые волосы;Мужской персонаж;9;1991
Argus LaVecchio (Earth-616);Добрый персонаж;Голубые глаза;Каштановые волосы;Мужской персонаж;9;1991
Aya Komatsu (Earth-616);;Черные глаза;Черные волосы;Женский персонаж;9;1991
Broderick Bazin (Earth-616);;;;;9;1991
Chainsaw (Earth-616);Злой персонаж;;Каштановые волосы;Мужской персонаж;9;1991
Guy Cross-Wallace (Earth-616);;Темно-карие глаза;Черные волосы;Мужской персонаж;9;1991
Impala (Earth-616);;Темно-карие глаза;;Женский персонаж;9;1991
Jonin (Earth-616);Злой персонаж;;Черные волосы;Мужской персонаж;9;1991
Markus Ettlinger (Earth-616);Добрый персонаж;Голубые глаза;Черные волосы;Мужской персонаж;9;1991
Nadia Dornova (Earth-616);Нейтральный персонаж;Голубые глаза;Русые волосы;Женский персонаж;9;1991
Norman Harrison (Earth-616);Злой персонаж;Темно-карие глаза;Каштановые волосы;Мужской персонаж;9;1991
Origin (Earth-616);Добрый персонаж;Черные глаза;Без волос;;9;1991
Steve Rubino (Earth-616);;;;Мужской персонаж;9;1991
Anthony Grant (Earth-616);Злой персонаж;Белые глаза;Без волос;Мужской персонаж;9;1992
Ayla Ranefer (Earth-616);Злой персонаж;Голубые глаза;;Женский персонаж;9;1992
Dargin Bokk (Earth-616);Злой персонаж;Красные глаза;Черные волосы;Мужской персонаж;9;1992
